feature_name,stage,reason,dtype_polars,dtype_pandas,null_fraction,n_unique,sample_value,metadata
min_return_10m_0.005,registry_filter,excluded_by_registry,,,,,,
vol_clustering_5m,registry_filter,excluded_by_registry,,,,,,
time_in_profit_10m,registry_filter,excluded_by_registry,,,,,,
y_will_peak_mfe_5m_0.002,registry_filter,excluded_by_registry,,,,,,
mdd_10m_0.001,registry_filter,excluded_by_registry,,,,,,
macd_x_vol,registry_filter,excluded_by_registry,,,,,,
y_will_swing_high_30m_0.05,registry_filter,excluded_by_registry,,,,,,
hit_asym_5m_1.0_0.5,registry_filter,excluded_by_registry,,,,,,
mfe_share_15m,registry_filter,excluded_by_registry,,,,,,
macd_signal,registry_filter,excluded_by_registry,,,,,,
rsi_x_vol,registry_filter,excluded_by_registry,,,,,,
ichimoku_tenkan,registry_filter,excluded_by_registry,,,,,,
bb_lower_20,registry_filter,excluded_by_registry,,,,,,
y_will_swing_high_15m_0.05,registry_filter,excluded_by_registry,,,,,,
mfe_30m_0.001,registry_filter,excluded_by_registry,,,,,,
hit_asym_60m_1.0_0.5,registry_filter,excluded_by_registry,,,,,,
liquidity_ratio,registry_filter,excluded_by_registry,,,,,,
day_x_volume,registry_filter,excluded_by_registry,,,,,,
mfe_5m_0.005,registry_filter,excluded_by_registry,,,,,,
tth_10m_0.5,registry_filter,excluded_by_registry,,,,,,
hit_asym_5m_2.0_1.0,registry_filter,excluded_by_registry,,,,,,
hull_ma_5,registry_filter,excluded_by_registry,,,,,,
y_will_peak_mfe_30m_0.001,registry_filter,excluded_by_registry,,,,,,
bb_width_20,registry_filter,excluded_by_registry,,,,,,
max_return_5m_0.005,registry_filter,excluded_by_registry,,,,,,
y_will_valley_60m_0.8,registry_filter,excluded_by_registry,,,,,,
hit_asym_15m_2.0_1.0,registry_filter,excluded_by_registry,,,,,,
max_return_30m_0.002,registry_filter,excluded_by_registry,,,,,,
mdd_30m_0.002,registry_filter,excluded_by_registry,,,,,,
y_will_valley_mdd_5m_0.001,registry_filter,excluded_by_registry,,,,,,
macd_x_volume,registry_filter,excluded_by_registry,,,,,,
max_return_30m_0.001,registry_filter,excluded_by_registry,,,,,,
mfe_5m_0.001,registry_filter,excluded_by_registry,,,,,,
roc_x_volatility,registry_filter,excluded_by_registry,,,,,,
momentum_x_volatility,registry_filter,excluded_by_registry,,,,,,
ichimoku_chikou,registry_filter,excluded_by_registry,,,,,,
ret_ord_15m,registry_filter,excluded_by_registry,,,,,,
volatility_60d,registry_filter,excluded_by_registry,,,,,,
n_trades,registry_filter,excluded_by_registry,,,,,,
month_of_year,registry_filter,excluded_by_registry,,,,,,
yz_vol_20,registry_filter,excluded_by_registry,,,,,,
weekly_seasonality_monday,registry_filter,excluded_by_registry,,,,,,
ichimoku_senkou_a,registry_filter,excluded_by_registry,,,,,,
returns_5d,registry_filter,excluded_by_registry,,,,,,
vol_5m,registry_filter,excluded_by_registry,,,,,,
range_frac,registry_filter,excluded_by_registry,,,,,,
volume_ratio_5d,registry_filter,excluded_by_registry,,,,,,
ret_1m,registry_filter,excluded_by_registry,,,,,,
y_will_peak_mfe_30m_0.002,registry_filter,excluded_by_registry,,,,,,
tth_abs_5m_0.5,registry_filter,excluded_by_registry,,,,,,
tth_abs_60m_0.3,registry_filter,excluded_by_registry,,,,,,
max_return_10m_0.001,registry_filter,excluded_by_registry,,,,,,
vwap_dev,registry_filter,excluded_by_registry,,,,,,
y_will_valley_mdd_10m_0.005,registry_filter,excluded_by_registry,,,,,,
tth_10m_0.8,registry_filter,excluded_by_registry,,,,,,
close_loc_1d,registry_filter,excluded_by_registry,,,,,,
y_will_valley_mdd_5m_0.002,registry_filter,excluded_by_registry,,,,,,
cmf,registry_filter,excluded_by_registry,,,,,,
keltner_upper,registry_filter,excluded_by_registry,,,,,,
y_will_swing_low_30m_0.05,registry_filter,excluded_by_registry,,,,,,
tth_asym_30m_2.0_1.0,registry_filter,excluded_by_registry,,,,,,
psar_af,registry_filter,excluded_by_registry,,,,,,
ret_ord_5m,registry_filter,excluded_by_registry,,,,,,
mfe_share_10m,registry_filter,excluded_by_registry,,,,,,
tth_abs_5m_0.8,registry_filter,excluded_by_registry,,,,,,
tth_30m_0.5,registry_filter,excluded_by_registry,,,,,,
keltner_lower,registry_filter,excluded_by_registry,,,,,,
relative_performance_5d,registry_filter,excluded_by_registry,,,,,,
price_momentum_60d,registry_filter,excluded_by_registry,,,,,,
y_will_swing_low_15m_0.05,registry_filter,excluded_by_registry,,,,,,
gap_co,registry_filter,excluded_by_registry,,,,,,
vwap_dev_30m,registry_filter,excluded_by_registry,,,,,,
vol_15m,registry_filter,excluded_by_registry,,,,,,
min_return_60m_0.005,registry_filter,excluded_by_registry,,,,,,
y_will_swing_low_15m_0.20,registry_filter,excluded_by_registry,,,,,,
hit_direction_60m_0.3,registry_filter,excluded_by_registry,,,,,,
vwma_20,registry_filter,excluded_by_registry,,,,,,
sector_momentum_5d,registry_filter,excluded_by_registry,,,,,,
roc_5,registry_filter,excluded_by_registry,,,,,,
max_return_10m_0.002,registry_filter,excluded_by_registry,,,,,,
momentum_x_vol,registry_filter,excluded_by_registry,,,,,,
y_will_peak_60m_0.8,registry_filter,excluded_by_registry,,,,,,
market_impact,registry_filter,excluded_by_registry,,,,,,
ret2_15m,registry_filter,excluded_by_registry,,,,,,
mfe_30m_0.002,registry_filter,excluded_by_registry,,,,,,
mdd_5m_0.002,registry_filter,excluded_by_registry,,,,,,
stoch_d_21,registry_filter,excluded_by_registry,,,,,,
rs_vol_5,registry_filter,excluded_by_registry,,,,,,
order_flow_imbalance,registry_filter,excluded_by_registry,,,,,,
_day,registry_filter,excluded_by_registry,,,,,,
ret_zscore_5m,registry_filter,excluded_by_registry,,,,,,
hit_direction_10m_0.5,registry_filter,excluded_by_registry,,,,,,
mom_1d,registry_filter,excluded_by_registry,,,,,,
barrier_down_60m_0.8,registry_filter,excluded_by_registry,,,,,,
market_correlation_20d,registry_filter,excluded_by_registry,,,,,,
tth_15m_0.5,registry_filter,excluded_by_registry,,,,,,
open,registry_filter,excluded_by_registry,,,,,,
flipcount_10m,registry_filter,excluded_by_registry,,,,,,
min_return_10m_0.002,registry_filter,excluded_by_registry,,,,,,
rsi_21,registry_filter,excluded_by_registry,,,,,,
vol_x_ret_60m,registry_filter,excluded_by_registry,,,,,,
flipcount_30m,registry_filter,excluded_by_registry,,,,,,
quarterly_seasonality_end,registry_filter,excluded_by_registry,,,,,,
kama_20,registry_filter,excluded_by_registry,,,,,,
tth_5m_0.3,registry_filter,excluded_by_registry,,,,,,
fwd_ret_15m,registry_filter,excluded_by_registry,,,,,,
ret_ord_60m,registry_filter,excluded_by_registry,,,,,,
quarterly_seasonality_beginning,registry_filter,excluded_by_registry,,,,,,
volume_std_20d,registry_filter,excluded_by_registry,,,,,,
market_cap_decile,registry_filter,excluded_by_registry,,,,,,
returns_20d,registry_filter,excluded_by_registry,,,,,,
intraday_seasonality_5m,registry_filter,excluded_by_registry,,,,,,
fwd_ret_10m,registry_filter,excluded_by_registry,,,,,,
y_will_valley_mdd_10m_0.001,registry_filter,excluded_by_registry,,,,,,
fwd_ret_oc_same_day,registry_filter,excluded_by_registry,,,,,,
y_will_swing_high_60m_0.20,registry_filter,excluded_by_registry,,,,,,
hit_direction_30m_0.3,registry_filter,excluded_by_registry,,,,,,
tth_abs_10m_0.5,registry_filter,excluded_by_registry,,,,,,
stoch_d_5,registry_filter,excluded_by_registry,,,,,,
is_month_end,registry_filter,excluded_by_registry,,,,,,
hit_asym_30m_1.5_0.8,registry_filter,excluded_by_registry,,,,,,
adx_14,registry_filter,excluded_by_registry,,,,,,
volume_skew_20d,registry_filter,excluded_by_registry,,,,,,
vol_over_vol_15m,registry_filter,excluded_by_registry,,,,,,
mom_5d,registry_filter,excluded_by_registry,,,,,,
volume_weighted_price,registry_filter,excluded_by_registry,,,,,,
vol_over_vol_60m,registry_filter,excluded_by_registry,,,,,,
max_return_15m_0.002,registry_filter,excluded_by_registry,,,,,,
_month,registry_filter,excluded_by_registry,,,,,,
min_return_15m_0.005,registry_filter,excluded_by_registry,,,,,,
stoch_k_5,registry_filter,excluded_by_registry,,,,,,
tth_asym_5m_1.5_0.8,registry_filter,excluded_by_registry,,,,,,
roc_50,registry_filter,excluded_by_registry,,,,,,
volume_sma_50,registry_filter,excluded_by_registry,,,,,,
vwap_5,registry_filter,excluded_by_registry,,,,,,
volume_momentum_5d,registry_filter,excluded_by_registry,,,,,,
vol_clustering_15m,registry_filter,excluded_by_registry,,,,,,
open_loc_1d,registry_filter,excluded_by_registry,,,,,,
tema_5,registry_filter,excluded_by_registry,,,,,,
rsi_14,registry_filter,excluded_by_registry,,,,,,
rsi_10,registry_filter,excluded_by_registry,,,,,,
vol_over_vol_5m,registry_filter,excluded_by_registry,,,,,,
mfe_10m_0.005,registry_filter,excluded_by_registry,,,,,,
mdd_60m_0.002,registry_filter,excluded_by_registry,,,,,,
tth_abs_60m_0.5,registry_filter,excluded_by_registry,,,,,,
tth_15m_0.3,registry_filter,excluded_by_registry,,,,,,
y_will_valley_mdd_60m_0.001,registry_filter,excluded_by_registry,,,,,,
y_will_swing_low_60m_0.20,registry_filter,excluded_by_registry,,,,,,
time_in_profit_5m,registry_filter,excluded_by_registry,,,,,,
donchian_middle,registry_filter,excluded_by_registry,,,,,,
y_will_peak_mfe_10m_0.002,registry_filter,excluded_by_registry,,,,,,
vol_x_ret_5m,registry_filter,excluded_by_registry,,,,,,
high,registry_filter,excluded_by_registry,,,,,,
stoch_x_ret,registry_filter,excluded_by_registry,,,,,,
mfe_30m_0.005,registry_filter,excluded_by_registry,,,,,,
max_return_15m_0.001,registry_filter,excluded_by_registry,,,,,,
mfe_share_30m,registry_filter,excluded_by_registry,,,,,,
y_will_swing_low_30m_0.20,registry_filter,excluded_by_registry,,,,,,
monthly_seasonality_end,registry_filter,excluded_by_registry,,,,,,
y_will_swing_high_15m_0.20,registry_filter,excluded_by_registry,,,,,,
tth_10m_0.3,registry_filter,excluded_by_registry,,,,,,
dema_20,registry_filter,excluded_by_registry,,,,,,
vol_clustering_60m,registry_filter,excluded_by_registry,,,,,,
weekly_seasonality_friday,registry_filter,excluded_by_registry,,,,,,
hour_x_volume,registry_filter,excluded_by_registry,,,,,,
tth_60m_0.8,registry_filter,excluded_by_registry,,,,,,
symbol,registry_filter,excluded_by_registry,,,,,,
donchian_lower,registry_filter,excluded_by_registry,,,,,,
ts,registry_filter,excluded_by_registry,,,,,,
tth_asym_30m_1.0_0.5,registry_filter,excluded_by_registry,,,,,,
tth_abs_60m_0.8,registry_filter,excluded_by_registry,,,,,,
tth_5m_0.8,registry_filter,excluded_by_registry,,,,,,
fractal_high,registry_filter,excluded_by_registry,,,,,,
ret_30m,registry_filter,excluded_by_registry,,,,,,
hit_direction_60m_0.5,registry_filter,excluded_by_registry,,,,,,
y_will_swing_low_30m_0.10,registry_filter,excluded_by_registry,,,,,,
max_return_30m_0.005,registry_filter,excluded_by_registry,,,,,,
volume_roc_20,registry_filter,excluded_by_registry,,,,,,
tth_asym_15m_1.5_0.8,registry_filter,excluded_by_registry,,,,,,
open_vol_frac,registry_filter,excluded_by_registry,,,,,,
tema_20,registry_filter,excluded_by_registry,,,,,,
momentum_5,registry_filter,excluded_by_registry,,,,,,
range_compression_5m,registry_filter,excluded_by_registry,,,,,,
gk_vol_5,registry_filter,excluded_by_registry,,,,,,
hour_10,registry_filter,excluded_by_registry,,,,,,
max_return_60m_0.001,registry_filter,excluded_by_registry,,,,,,
vwap_10,registry_filter,excluded_by_registry,,,,,,
beta_20d,registry_filter,excluded_by_registry,,,,,,
year,registry_filter,excluded_by_registry,,,,,,
mom_10d,registry_filter,excluded_by_registry,,,,,,
min_return_15m_0.002,registry_filter,excluded_by_registry,,,,,,
mfe_60m_0.005,registry_filter,excluded_by_registry,,,,,,
market_facilitation_index,registry_filter,excluded_by_registry,,,,,,
ret_ord_30m,registry_filter,excluded_by_registry,,,,,,
vol_persistence,registry_filter,excluded_by_registry,,,,,,
tth_asym_10m_1.5_0.8,registry_filter,excluded_by_registry,,,,,,
realized_spread,registry_filter,excluded_by_registry,,,,,,
min_return_30m_0.005,registry_filter,excluded_by_registry,,,,,,
y_will_valley_mdd_30m_0.005,registry_filter,excluded_by_registry,,,,,,
volume_volatility_20d,registry_filter,excluded_by_registry,,,,,,
ret_zscore_10m,registry_filter,excluded_by_registry,,,,,,
monthly_seasonality_beginning,registry_filter,excluded_by_registry,,,,,,
supertrend_direction,registry_filter,excluded_by_registry,,,,,,
ret_oc,registry_filter,excluded_by_registry,,,,,,
supertrend,registry_filter,excluded_by_registry,,,,,,
fwd_ret_5d,registry_filter,excluded_by_registry,,,,,,
kama_5,registry_filter,excluded_by_registry,,,,,,
price_volume_trend,registry_filter,excluded_by_registry,,,,,,
effective_spread,registry_filter,excluded_by_registry,,,,,,
quarter,registry_filter,excluded_by_registry,,,,,,
post_holiday_effect,registry_filter,excluded_by_registry,,,,,,
y_will_swing_high_30m_0.20,registry_filter,excluded_by_registry,,,,,,
hit_asym_15m_1.5_0.8,registry_filter,excluded_by_registry,,,,,,
y_will_valley_mdd_30m_0.002,registry_filter,excluded_by_registry,,,,,,
y_will_valley_mdd_30m_0.001,registry_filter,excluded_by_registry,,,,,,
time_in_profit_30m,registry_filter,excluded_by_registry,,,,,,
obv_ema,registry_filter,excluded_by_registry,,,,,,
williams_accumulation,registry_filter,excluded_by_registry,,,,,,
rsi_x_volume,registry_filter,excluded_by_registry,,,,,,
macd,registry_filter,excluded_by_registry,,,,,,
mdd_30m_0.001,registry_filter,excluded_by_registry,,,,,,
vol_x_mom_20d,registry_filter,excluded_by_registry,,,,,,
mfe_15m_0.005,registry_filter,excluded_by_registry,,,,,,
y_will_swing_high_30m_0.10,registry_filter,excluded_by_registry,,,,,,
macd_x_ret,registry_filter,excluded_by_registry,,,,,,
parkinson_vol_20,registry_filter,excluded_by_registry,,,,,,
hit_asym_15m_1.0_0.5,registry_filter,excluded_by_registry,,,,,,
y_will_swing_high_60m_0.05,registry_filter,excluded_by_registry,,,,,,
volume_roc_5,registry_filter,excluded_by_registry,,,,,,
ret_zscore_60m,registry_filter,excluded_by_registry,,,,,,
trading_day_of_quarter,registry_filter,excluded_by_registry,,,,,,
ret_ord_10m,registry_filter,excluded_by_registry,,,,,,
mfe_share_60m,registry_filter,excluded_by_registry,,,,,,
y_will_peak_mfe_30m_0.005,registry_filter,excluded_by_registry,,,,,,
rsi_7,registry_filter,excluded_by_registry,,,,,,
adjusted,registry_filter,excluded_by_registry,,,,,,
hit_asym_5m_1.5_0.8,registry_filter,excluded_by_registry,,,,,,
high_vol_frac,registry_filter,excluded_by_registry,,,,,,
mdd_60m_0.005,registry_filter,excluded_by_registry,,,,,,
vol_60m,registry_filter,excluded_by_registry,,,,,,
mdd_10m_0.005,registry_filter,excluded_by_registry,,,,,,
cci_20,registry_filter,excluded_by_registry,,,,,,
min_return_5m_0.001,registry_filter,excluded_by_registry,,,,,,
time_in_profit_60m,registry_filter,excluded_by_registry,,,,,,
max_return_15m_0.005,registry_filter,excluded_by_registry,,,,,,
rs_vol_10,registry_filter,excluded_by_registry,,,,,,
hull_ma_20,registry_filter,excluded_by_registry,,,,,,
